ID,Name in English,Main country,All countries,ISO639-3 codes,Degree of endangerment,Number of speakers,Latitude,Longitude,Rank ,Quality of life index(HDI-2019),Life expectancy at birth (years) SDG3,Expected years of schooling (years) SDG 4.3,Mean years of schooling (years) SDG 4.6,Gross national income (GNI) per capita (PPP $) SDG 8.5,Endangered,Rank,Population,Government
1361.0,Nahali,India,IND,nlx,Definitely endangered,15000.0,21.4735,74.0258,131.0,0.645,69.7,12.2,6.5,6.681,1.0,2,1374023773.0,Republic
1584.0,Kuruba,India,IND,kfi,Critically endangered,14613.0,11.4369,76.3549,131.0,0.645,69.7,12.2,6.5,6.681,1.0,2,1374023773.0,Republic
1606.0,Bangani,India,IND,gbm,Critically endangered,12000.0,29.8692,79.0686,131.0,0.645,69.7,12.2,6.5,6.681,1.0,2,1374023773.0,Republic
1090.0,Hill Miri,India,IND,mrg,Definitely endangered,12000.0,27.7078,94.0374,131.0,0.645,69.7,12.2,6.5,6.681,1.0,2,1374023773.0,Republic
535.0,Lamgang,India,IND,lmk,Critically endangered,10000.0,24.2569,94.0759,131.0,0.645,69.7,12.2,6.5,6.681,1.0,2,1374023773.0,Republic
1198.0,Muot,India,IND,ncb,Critically endangered,10000.0,8.0932,93.4963,131.0,0.645,69.7,12.2,6.5,6.681,1.0,2,1374023773.0,Republic
1589.0,Naiki,India,IND,nit,Critically endangered,10000.0,19.8287,78.2281,131.0,0.645,69.7,12.2,6.5,6.681,1.0,2,1374023773.0,Republic
1182.0,Rongpo,India,IND,rnp,Vulnerable,8000.0,30.7229,79.7387,131.0,0.645,69.7,12.2,6.5,6.681,0.0,2,1374023773.0,Republic
1217.0,Asur,India,IND,asr,Definitely endangered,7000.0,22.4719,84.9023,131.0,0.645,69.7,12.2,6.5,6.681,1.0,2,1374023773.0,Republic
1206.0,Gorum,India,IND,pcj,Definitely endangered,5000.0,18.667,83.0346,131.0,0.645,69.7,12.2,6.5,6.681,1.0,2,1374023773.0,Republic
1188.0,Kom,India,IND,kmm,Definitely endangered,5000.0,24.0414,93.6639,131.0,0.645,69.7,12.2,6.5,6.681,1.0,2,1374023773.0,Republic
1193.0,Pu,India,IND,caq,Critically endangered,5000.0,8.2549,93.1022,131.0,0.645,69.7,12.2,6.5,6.681,1.0,2,1374023773.0,Republic
